# sender,receiver,amount,energy_rate
user1,user2,45,1.2
user3,user4,67,0.8
user5,user6,23,1.5
user7,user8,89,0.9
user9,user10,12,1.1
user2,user5,34,0.7
user4,user1,56,1.3
user6,user3,78,0.6
user8,user9,90,1.8
user10,user7,21,0.5
user11,user12,33,1.0
user13,user14,44,1.4
user15,user16,55,0.9
user17,user18,66,1.2
user19,user20,77,1.7
user21,user22,88,0.8
user23,user24,99,1.6
user25,user26,11,1.0
user27,user28,22,1.3
user29,user30,100,0.7
user12,user15,45,1.2
user14,user17,67,0.8
user16,user19,23,1.5
user18,user21,89,0.9
user20,user23,12,1.1
user22,user25,34,0.7
user24,user27,56,1.3
user26,user29,78,0.6
user28,user11,90,1.8
user30,user13,21,0.5
user1,user14,33,1.0
user2,user15,44,1.4
user3,user16,55,0.9
user4,user17,66,1.2
user5,user18,77,1.7
user6,user19,88,0.8
user7,user20,99,1.6
user8,user21,11,1.0
user9,user22,22,1.3
user10,user23,100,0.7
user11,user31,50,1.1
user12,user32,60,1.2
user13,user33,70,1.3
user14,user34,80,1.4
user15,user35,90,1.5
user16,user36,100,1.6
user17,user37,110,1.7
user18,user38,120,1.8
user19,user39,130,1.9
user20,user40,140,2.0
user21,user41,150,2.1
user22,user42,160,2.2
user23,user43,170,2.3
user24,user44,180,2.4
user25,user45,190,2.5
user26,user46,200,2.6
user27,user47,210,2.7
user28,user48,220,2.8
user29,user49,230,2.9
user30,user50,240,3.0
user1,user3,50,1.1
user2,user4,60,1.2
user5,user7,70,1.3
user6,user8,80,1.4
user9,user11,90,1.5
user10,user12,100,1.6
user13,user15,110,1.7
user14,user16,120,1.8
user17,user19,130,1.9
user18,user20,140,2.0
user21,user23,150,2.1
user22,user24,160,2.2
user25,user27,170,2.3
user26,user28,180,2.4
user29,user31,190,2.5
user30,user32,200,2.6
user33,user35,210,2.7
user34,user36,220,2.8
user37,user39,230,2.9
user38,user40,240,3.0
user41,user43,250,3.1
user42,user44,260,3.2
user45,user47,270,3.3
user46,user48,280,3.4
user49,user50,290,3.5
user1,user5,300,1.1
user2,user6,250,1.2
user3,user7,200,1.3
user4,user8,150,1.4
user9,user13,100,1.5
user10,user14,90,1.6
user11,user15,80,1.7
user12,user16,70,1.8
user17,user21,60,1.9
user18,user22,50,2.0
user19,user23,40,2.1
user20,user24,30,2.2
user25,user29,20,2.3
user26,user30,10,2.4
user27,user31,5,2.5
user28,user32,3,2.6
user33,user37,2,2.7
user34,user38,1,2.8
user35,user39,4,2.9
user36,user40,6,3.0
user41,user45,8,3.1
user42,user46,12,3.2
user43,user47,14,3.3
user44,user48,16,3.4
user49,user50,18,3.5
user1,user10,100,1.1
user2,user20,200,1.2
user3,user30,300,1.3
user4,user40,400,1.4
user5,user50,500,1.5
user6,user15,150,1.6
user7,user25,250,1.7
user8,user35,350,1.8
user9,user45,450,1.9
user10,user5,50,2.0
user11,user16,160,2.1
user12,user26,260,2.2
user13,user36,360,2.3
user14,user46,460,2.4
user15,user1,10,2.5
user16,user2,20,2.6
user17,user3,30,2.7
user18,user4,40,2.8
user19,user5,50,2.9
user20,user6,60,3.0
user21,user7,70,3.1
user22,user8,80,3.2
user23,user9,90,3.3
user24,user10,100,3.4
user25,user11,110,3.5
user26,user12,120,3.6
user27,user13,130,3.7
user28,user14,140,3.8
user29,user15,150,3.9
user30,user16,160,4.0
user31,user17,170,4.1
user32,user18,180,4.2
user33,user19,190,4.3
user34,user20,200,4.4
user35,user21,210,4.5
user36,user22,220,4.6
user37,user23,230,4.7
user38,user24,240,4.8
user39,user25,250,4.9
user40,user26,260,5.0
user41,user27,270,5.1
user42,user28,280,5.2
user43,user29,290,5.3
user44,user30,300,5.4
user45,user31,310,5.5
user46,user32,320,5.6
user47,user33,330,5.7
user48,user34,340,5.8
user49,user35,350,5.9
user50,user36,360,6.0
user1,user20,210,1.1
user2,user30,310,1.2
user3,user40,410,1.3
user4,user50,510,1.4
user5,user10,110,1.5
user6,user25,260,1.6
user7,user35,360,1.7
user8,user45,460,1.8
user9,user15,150,1.9
user10,user5,50,2.0
user11,user26,170,2.1
user12,user36,270,2.2
user13,user46,370,2.3
user14,user1,10,2.4
user15,user2,20,2.5
user16,user3,30,2.6
user17,user4,40,2.7
user18,user5,50,2.8
user19,user6,60,2.9
user20,user7,70,3.0
user21,user8,80,3.1
user22,user9,90,3.2
user23,user10,100,3.3
user24,user11,110,3.4
user25,user12,120,3.5
user26,user13,130,3.6
user27,user14,140,3.7
user28,user15,150,3.8
user29,user16,160,3.9
user30,user17,170,4.0
user31,user18,180,4.1
user32,user19,190,4.2
user33,user20,200,4.3
user34,user21,210,4.4
user35,user22,220,4.5
user36,user23,230,4.6
user37,user24,240,4.7
user38,user25,250,4.8
user39,user26,260,4.9
user40,user27,270,5.0
user41,user28,280,5.1
user42,user29,290,5.2
user43,user30,300,5.3
user44,user31,310,5.4
user45,user32,320,5.5
user46,user33,330,5.6
user47,user34,340,5.7
user48,user35,350,5.8
user49,user36,360,5.9
user50,user37,370,6.0
