# username,balance
user1,857
user2,234
user3,678
user4,912
user5,145
user6,321
user7,789
user8,456
user9,1001
user10,567
user11,234
user12,876
user13,543
user14,765
user15,432
user16,654
user17,321
user18,987
user19,210
user20,765
user21,345
user22,876
user23,543
user24,654
user25,321
user26,789
user27,456
user28,1002
user29,567
user30,890
user31,800
user32,950
user33,1000
user34,870
user35,920
user36,990
user37,1010
user38,980
user39,940
user40,860
user41,970
user42,930
user43,910
user44,890
user45,850
user46,820
user47,810
user48,830
user49,840
user50,860
